L1,L2,m1,m2,dd1,st,pr
1.620000e+00,8.100000e-01,5,25,1.031481e-01,2.340000e+00,4.408038e-02
1.620000e+00,8.100000e-01,5,30,9.932011e-02,2.540000e+00,3.910241e-02
1.620000e+00,8.100000e-01,5,35,9.009710e-02,2.310000e+00,3.900307e-02
1.620000e+00,8.100000e-01,5,40,1.065725e-01,2.370000e+00,4.496730e-02
1.620000e+00,8.100000e-01,5,45,9.104024e-02,2.350000e+00,3.874053e-02
1.620000e+00,8.100000e-01,5,50,9.370499e-02,2.240000e+00,4.183258e-02
1.620000e+00,8.100000e-01,5,55,1.018901e-01,2.260000e+00,4.508410e-02
1.620000e+00,8.100000e-01,5,60,1.010520e-01,2.410000e+00,4.193031e-02
1.620000e+00,8.100000e-01,5,65,9.712849e-02,2.390000e+00,4.063953e-02
1.620000e+00,8.100000e-01,5,70,9.693084e-02,2.080000e+00,4.660137e-02
1.620000e+00,8.100000e-01,5,75,9.489761e-02,2.230000e+00,4.255498e-02
1.620000e+00,8.100000e-01,5,80,1.044701e-01,2.260000e+00,4.622569e-02
1.620000e+00,8.100000e-01,5,85,9.654962e-02,2.410000e+00,4.006208e-02
1.620000e+00,8.100000e-01,5,90,9.448663e-02,2.120000e+00,4.456917e-02
1.620000e+00,8.100000e-01,5,95,9.500272e-02,2.310000e+00,4.112672e-02
1.620000e+00,8.100000e-01,5,100,9.951938e-02,2.270000e+00,4.384114e-02
1.620000e+00,8.100000e-01,5,105,1.042172e-01,2.260000e+00,4.611382e-02
1.620000e+00,8.100000e-01,5,110,1.002273e-01,2.440000e+00,4.107677e-02
1.620000e+00,8.100000e-01,5,115,9.998227e-02,2.220000e+00,4.503706e-02
1.620000e+00,8.100000e-01,5,120,9.878665e-02,2.350000e+00,4.203687e-02
1.620000e+00,8.100000e-01,5,125,1.000948e-01,2.310000e+00,4.333110e-02
1.620000e+00,8.100000e-01,5,130,1.005482e-01,2.270000e+00,4.429435e-02
1.620000e+00,8.100000e-01,5,135,9.686057e-02,2.290000e+00,4.229719e-02
1.620000e+00,8.100000e-01,5,140,9.424150e-02,2.440000e+00,3.862356e-02
1.620000e+00,8.100000e-01,5,145,1.024238e-01,2.190000e+00,4.676888e-02
1.620000e+00,8.100000e-01,5,150,1.039783e-01,2.170000e+00,4.791628e-02
1.620000e+00,8.100000e-01,5,155,9.824550e-02,2.350000e+00,4.180660e-02
