L1,L2,m1,m2,dd1,st,pr,rms
1.620000e+00,8.100000e-01,5,175,2.904435e-01,2.751000e+00,2.904435e-01,4.465719e-02
1.620000e+00,8.100000e-01,5,180,3.005501e-01,2.913000e+00,3.005501e-01,4.435957e-02
1.620000e+00,8.100000e-01,5,185,3.005152e-01,2.880000e+00,3.005152e-01,4.434995e-02
1.620000e+00,8.100000e-01,5,190,2.961493e-01,2.850000e+00,2.961493e-01,4.459671e-02
1.620000e+00,8.100000e-01,5,195,3.022878e-01,2.823000e+00,3.022878e-01,4.463189e-02
1.620000e+00,8.100000e-01,5,200,2.997858e-01,2.984000e+00,2.997858e-01,4.565760e-02
1.620000e+00,8.100000e-01,5,205,3.032913e-01,2.773000e+00,3.032913e-01,4.506993e-02
1.620000e+00,8.100000e-01,5,210,3.102432e-01,2.742000e+00,3.102432e-01,4.477003e-02
1.620000e+00,8.100000e-01,5,215,3.063923e-01,2.892000e+00,3.063923e-01,4.477509e-02
1.620000e+00,8.100000e-01,5,220,3.060741e-01,2.865000e+00,3.060741e-01,4.514791e-02
1.620000e+00,8.100000e-01,5,225,3.030215e-01,2.843000e+00,3.030215e-01,4.467191e-02
1.620000e+00,8.100000e-01,5,230,3.064979e-01,3.001000e+00,3.064979e-01,4.550590e-02
1.620000e+00,8.100000e-01,5,235,2.988736e-01,2.969000e+00,2.988736e-01,4.590970e-02
1.620000e+00,8.100000e-01,5,240,3.075077e-01,2.769000e+00,3.075077e-01,4.535540e-02
1.620000e+00,8.100000e-01,5,245,3.181152e-01,2.749000e+00,3.181152e-01,4.562215e-02
1.620000e+00,8.100000e-01,5,250,3.134908e-01,2.898000e+00,3.134908e-01,4.578267e-02
1.620000e+00,8.100000e-01,5,255,3.068203e-01,2.873000e+00,3.068203e-01,4.546797e-02
1.620000e+00,8.100000e-01,5,260,3.015089e-01,2.850000e+00,3.015089e-01,4.522305e-02
1.620000e+00,8.100000e-01,5,265,3.005753e-01,2.827000e+00,3.005753e-01,4.571670e-02
1.620000e+00,8.100000e-01,5,270,3.061751e-01,2.972000e+00,3.061751e-01,4.541855e-02
1.620000e+00,8.100000e-01,5,275,3.021747e-01,2.952000e+00,3.021747e-01,4.555481e-02
1.620000e+00,8.100000e-01,5,280,2.983402e-01,2.765000e+00,2.983402e-01,4.575343e-02
1.620000e+00,8.100000e-01,5,285,3.161049e-01,2.908000e+00,3.161049e-01,4.568602e-02
1.620000e+00,8.100000e-01,5,290,3.160506e-01,2.887000e+00,3.160506e-01,4.539580e-02
1.620000e+00,8.100000e-01,5,295,3.116821e-01,2.868000e+00,3.116821e-01,4.539654e-02
1.620000e+00,8.100000e-01,5,300,3.026515e-01,2.847000e+00,3.026515e-01,4.593887e-02
1.620000e+00,8.100000e-01,5,305,2.969846e-01,2.982000e+00,2.969846e-01,4.530136e-02
1.620000e+00,8.100000e-01,5,310,2.955876e-01,2.965000e+00,2.955876e-01,4.484262e-02
1.620000e+00,8.100000e-01,5,315,2.962441e-01,2.946000e+00,2.962441e-01,4.479719e-02
1.620000e+00,8.100000e-01,5,320,2.992148e-01,2.929000e+00,2.992148e-01,4.517248e-02
1.620000e+00,8.100000e-01,5,325,2.995283e-01,2.757000e+00,2.995283e-01,4.563182e-02
1.620000e+00,8.100000e-01,5,330,3.034037e-01,2.886000e+00,3.034037e-01,4.588313e-02
1.620000e+00,8.100000e-01,5,335,3.206311e-01,2.871000e+00,3.206311e-01,4.595770e-02
1.620000e+00,8.100000e-01,5,340,3.131650e-01,2.857000e+00,3.131650e-01,4.607924e-02
1.620000e+00,8.100000e-01,5,345,3.101662e-01,2.839000e+00,3.101662e-01,4.599347e-02
1.620000e+00,8.100000e-01,5,350,3.068129e-01,2.963000e+00,3.068129e-01,4.591442e-02
1.620000e+00,8.100000e-01,5,355,2.976986e-01,2.949000e+00,2.976986e-01,4.602416e-02
1.620000e+00,8.100000e-01,5,360,2.995618e-01,2.934000e+00,2.995618e-01,4.578781e-02
1.620000e+00,8.100000e-01,5,365,3.009753e-01,2.769000e+00,3.009753e-01,4.552842e-02
1.620000e+00,8.100000e-01,5,370,2.976079e-01,2.894000e+00,2.976079e-01,4.622110e-02
1.620000e+00,8.100000e-01,5,375,3.008476e-01,2.879000e+00,3.008476e-01,4.651714e-02
1.620000e+00,8.100000e-01,5,380,3.091058e-01,2.863000e+00,3.091058e-01,4.637161e-02
1.620000e+00,8.100000e-01,5,385,3.302006e-01,2.849000e+00,3.302006e-01,4.619982e-02
1.620000e+00,8.100000e-01,5,390,3.305844e-01,2.838000e+00,3.305844e-01,4.614604e-02
1.620000e+00,8.100000e-01,5,395,3.166528e-01,2.960000e+00,3.166528e-01,4.691710e-02
1.620000e+00,8.100000e-01,5,400,3.061240e-01,2.947000e+00,3.061240e-01,4.650807e-02
