t1,d1,v1,u,u_max
1.410000e+00,-1.800270e-01,-1.062480e+00,-5.000000e-02,-1.187967e+01
1.420000e+00,-1.906102e-01,-1.054164e+00,-5.000000e-02,-1.203561e+01
1.430000e+00,-2.011106e-01,-1.045934e+00,-5.000000e-02,-1.219049e+01
1.440000e+00,-2.115292e-01,-1.037804e+00,-5.000000e-02,-1.234444e+01
1.450000e+00,-2.218670e-01,-1.029781e+00,-5.000000e-02,-1.249753e+01
1.460000e+00,-2.321251e-01,-1.021866e+00,-5.000000e-02,-1.264981e+01
1.470000e+00,-2.423047e-01,-1.014054e+00,-5.000000e-02,-1.280122e+01
1.480000e+00,-2.524065e-01,-1.006329e+00,-5.000000e-02,-1.295171e+01
1.490000e+00,-2.624315e-01,-9.986742e-01,-5.000000e-02,-1.310113e+01
1.500000e+00,-2.723801e-01,-9.910628e-01,-5.000000e-02,-1.324930e+01
1.510000e+00,-2.822528e-01,-9.834648e-01,-5.000000e-02,-1.339600e+01
1.520000e+00,-2.920494e-01,-9.758455e-01,-5.000000e-02,-1.354095e+01
1.530000e+00,-3.017695e-01,-9.681669e-01,-5.000000e-02,-1.368386e+01
1.540000e+00,-3.114124e-01,-9.603888e-01,-5.000000e-02,-1.382441e+01
1.550000e+00,-3.209768e-01,-9.524697e-01,-5.000000e-02,-1.396224e+01
1.560000e+00,-3.304612e-01,-9.443680e-01,-5.000000e-02,-1.409702e+01
1.570000e+00,-3.398634e-01,-9.360432e-01,-5.000000e-02,-1.422838e+01
1.580000e+00,-3.491811e-01,-9.274567e-01,-5.000000e-02,-1.435598e+01
1.590000e+00,-3.584116e-01,-9.185732e-01,-5.000000e-02,-1.447949e+01
1.600000e+00,-3.675515e-01,-9.093614e-01,-5.000000e-02,-1.459861e+01
1.610000e+00,-3.765976e-01,-8.997948e-01,-5.000000e-02,-1.471306e+01
1.620000e+00,-3.855462e-01,-8.898524e-01,-5.000000e-02,-1.482261e+01
1.630000e+00,-3.943933e-01,-8.795198e-01,-5.000000e-02,-1.492706e+01
1.640000e+00,-4.031352e-01,-8.687885e-01,-5.000000e-02,-1.502627e+01
1.650000e+00,-4.117678e-01,-8.576573e-01,-5.000000e-02,-1.512015e+01
1.660000e+00,-4.202871e-01,-8.461317e-01,-5.000000e-02,-1.520865e+01
1.670000e+00,-4.286891e-01,-8.342237e-01,-5.000000e-02,-1.529179e+01
1.680000e+00,-4.369703e-01,-8.219521e-01,-5.000000e-02,-1.536963e+01
1.690000e+00,-4.451271e-01,-8.093415e-01,-5.000000e-02,-1.544230e+01
1.700000e+00,-4.531561e-01,-7.964219e-01,-5.000000e-02,-1.550994e+01
1.710000e+00,-4.610546e-01,-7.832279e-01,-5.000000e-02,-1.557277e+01
1.720000e+00,-4.688199e-01,-7.697980e-01,-5.000000e-02,-1.563103e+01
1.730000e+00,-4.764499e-01,-7.561734e-01,-5.000000e-02,-1.568498e+01
1.740000e+00,-4.839429e-01,-7.423973e-01,-5.000000e-02,-1.573493e+01
1.750000e+00,-4.912975e-01,-7.285134e-01,-5.000000e-02,-1.578119e+01
1.760000e+00,-4.985129e-01,-7.145654e-01,-5.000000e-02,-1.582406e+01
1.770000e+00,-5.055887e-01,-7.005953e-01,-5.000000e-02,-1.586387e+01
1.780000e+00,-5.125249e-01,-6.866429e-01,-5.000000e-02,-1.590091e+01
1.790000e+00,-5.193217e-01,-6.727445e-01,-5.000000e-02,-1.593548e+01
1.800000e+00,-5.259800e-01,-6.589323e-01,-5.000000e-02,-1.596783e+01
1.810000e+00,-5.325008e-01,-6.452334e-01,-5.000000e-02,-1.599819e+01
1.820000e+00,-5.388852e-01,-6.316692e-01,-5.000000e-02,-1.602675e+01
1.830000e+00,-5.451347e-01,-6.182551e-01,-5.000000e-02,-1.605367e+01
1.840000e+00,-5.512508e-01,-6.050001e-01,-5.000000e-02,-1.607903e+01
1.850000e+00,-5.572352e-01,-5.919065e-01,-5.000000e-02,-1.610290e+01
1.860000e+00,-5.630895e-01,-5.789700e-01,-5.000000e-02,-1.612527e+01
1.870000e+00,-5.688151e-01,-5.661802e-01,-5.000000e-02,-1.614610e+01
1.880000e+00,-5.744135e-01,-5.535203e-01,-5.000000e-02,-1.616528e+01
1.890000e+00,-5.798859e-01,-5.409683e-01,-5.000000e-02,-1.618267e+01
1.900000e+00,-5.852331e-01,-5.284969e-01,-5.000000e-02,-1.619808e+01
1.910000e+00,-5.904560e-01,-5.160750e-01,-5.000000e-02,-1.621129e+01
1.920000e+00,-5.955547e-01,-5.036683e-01,-5.000000e-02,-1.622204e+01
1.930000e+00,-6.005293e-01,-4.912398e-01,-5.000000e-02,-1.623005e+01
1.940000e+00,-6.053793e-01,-4.787517e-01,-5.000000e-02,-1.623501e+01
1.950000e+00,-6.101040e-01,-4.661655e-01,-5.000000e-02,-1.623662e+01
1.960000e+00,-6.147021e-01,-4.534438e-01,-5.000000e-02,-1.623457e+01
1.970000e+00,-6.191723e-01,-4.405508e-01,-5.000000e-02,-1.622854e+01
1.980000e+00,-6.235125e-01,-4.274537e-01,-5.000000e-02,-1.621825e+01
1.990000e+00,-6.277206e-01,-4.141232e-01,-5.000000e-02,-1.620344e+01
2,-6.317941e-01,-4.005344e-01,-5.000000e-02,-1.618384e+01
2.010000e+00,-6.357303e-01,-3.866677e-01,-5.000000e-02,-1.615928e+01
2.020000e+00,-6.395265e-01,-3.725092e-01,-5.000000e-02,-1.612956e+01
2.030000e+00,-6.431795e-01,-3.580510e-01,-5.000000e-02,-1.609458e+01
2.040000e+00,-6.466865e-01,-3.432916e-01,-5.000000e-02,-1.605426e+01
2.050000e+00,-6.500443e-01,-3.282359e-01,-5.000000e-02,-1.600857e+01
2.060000e+00,-6.532502e-01,-3.128952e-01,-5.000000e-02,-1.595754e+01
2.070000e+00,-6.563014e-01,-2.972867e-01,-5.000000e-02,-1.590125e+01
2.080000e+00,-6.591952e-01,-2.814335e-01,-5.000000e-02,-1.583982e+01
2.090000e+00,-6.619293e-01,-2.653637e-01,-5.000000e-02,-1.577341e+01
2.100000e+00,-6.645018e-01,-2.491098e-01,-5.000000e-02,-1.570224e+01
2.110000e+00,-6.669110e-01,-2.327082e-01,-5.000000e-02,-1.562655e+01
2.120000e+00,-6.691556e-01,-2.161978e-01,-5.000000e-02,-1.554660e+01
2.130000e+00,-6.712347e-01,-1.996195e-01,-5.000000e-02,-1.546270e+01
2.140000e+00,-6.731479e-01,-1.830151e-01,-5.000000e-02,-1.537516e+01
2.150000e+00,-6.748951e-01,-1.664260e-01,-5.000000e-02,-1.528429e+01
2.160000e+00,-6.764766e-01,-1.498926e-01,-5.000000e-02,-1.519040e+01
2.170000e+00,-6.778933e-01,-1.334532e-01,-5.000000e-02,-1.509382e+01
2.180000e+00,-6.791461e-01,-1.171429e-01,-5.000000e-02,-1.499482e+01
2.190000e+00,-6.802366e-01,-1.009929e-01,-5.000000e-02,-1.489368e+01
2.200000e+00,-6.811666e-01,-8.502987e-02,-5.000000e-02,-1.479064e+01
2.210000e+00,-6.819379e-01,-6.927529e-02,-5.000000e-02,-1.468591e+01
2.220000e+00,-6.825528e-01,-5.374485e-02,-5.000000e-02,-1.457965e+01
2.230000e+00,-6.830136e-01,-3.844827e-02,-5.000000e-02,-1.447198e+01
2.240000e+00,-6.833226e-01,-2.338906e-02,-5.000000e-02,-1.436298e+01
2.250000e+00,-6.834822e-01,-8.564539e-03,-5.000000e-02,-1.425268e+01
2.260000e+00,-6.834947e-01,6.034003e-03,0,-1.414105e+01
2.270000e+00,-6.833867e-01,1.552034e-02,0,-1.406611e+01
2.280000e+00,-6.831848e-01,2.483452e-02,0,-1.399054e+01
2.290000e+00,-6.828905e-01,3.401702e-02,0,-1.391405e+01
2.300000e+00,-6.825048e-01,4.311140e-02,0,-1.383635e+01
2.310000e+00,-6.820284e-01,5.216315e-02,0,-1.375708e+01
2.320000e+00,-6.814615e-01,6.121848e-02,0,-1.367592e+01
