t1sc,d1sc
2.243000e+01,-2.915229e-01
2.244000e+01,-2.882463e-01
2.245000e+01,-2.849227e-01
2.246000e+01,-2.815528e-01
2.247000e+01,-2.781372e-01
2.248000e+01,-2.746763e-01
2.249000e+01,-2.711710e-01
2.250000e+01,-2.676220e-01
2.251000e+01,-2.640299e-01
2.252000e+01,-2.603956e-01
2.253000e+01,-2.567199e-01
2.254000e+01,-2.530037e-01
2.255000e+01,-2.492478e-01
2.256000e+01,-2.454530e-01
2.257000e+01,-2.416203e-01
2.258000e+01,-2.377505e-01
2.259000e+01,-2.338444e-01
2.260000e+01,-2.299029e-01
2.261000e+01,-2.259269e-01
2.262000e+01,-2.219170e-01
2.263000e+01,-2.178742e-01
2.264000e+01,-2.137990e-01
2.265000e+01,-2.096923e-01
2.266000e+01,-2.055546e-01
2.267000e+01,-2.013866e-01
2.268000e+01,-1.971888e-01
2.269000e+01,-1.929619e-01
2.270000e+01,-1.887064e-01
2.271000e+01,-1.844227e-01
2.272000e+01,-1.801114e-01
2.273000e+01,-1.757729e-01
2.274000e+01,-1.714077e-01
2.275000e+01,-1.670162e-01
2.276000e+01,-1.625990e-01
2.277000e+01,-1.581564e-01
2.278000e+01,-1.536890e-01
2.279000e+01,-1.491972e-01
2.280000e+01,-1.446817e-01
2.281000e+01,-1.401429e-01
2.282000e+01,-1.355815e-01
2.283000e+01,-1.309982e-01
2.284000e+01,-1.263935e-01
2.285000e+01,-1.217682e-01
2.286000e+01,-1.171232e-01
2.287000e+01,-1.124591e-01
2.288000e+01,-1.077769e-01
2.289000e+01,-1.030774e-01
2.290000e+01,-9.836156e-02
2.291000e+01,-9.363032e-02
2.292000e+01,-8.888464e-02
2.293000e+01,-8.412551e-02
2.294000e+01,-7.935394e-02
2.295000e+01,-7.457093e-02
2.296000e+01,-6.977749e-02
2.297000e+01,-6.497461e-02
2.298000e+01,-6.016329e-02
2.299000e+01,-5.534450e-02
23,-5.051917e-02
2.301000e+01,-4.568822e-02
2.302000e+01,-4.085255e-02
2.303000e+01,-3.601299e-02
2.304000e+01,-3.117037e-02
2.305000e+01,-2.632546e-02
2.306000e+01,-2.147900e-02
2.307000e+01,-1.663169e-02
2.308000e+01,-1.178420e-02
2.309000e+01,-6.937158e-03
2.310000e+01,-2.091181e-03
2.311000e+01,2.753152e-03
2.312000e+01,7.595278e-03
2.313000e+01,1.243465e-02
2.314000e+01,1.727071e-02
2.315000e+01,2.210294e-02
2.316000e+01,2.693079e-02
2.317000e+01,3.175370e-02
2.318000e+01,3.657110e-02
2.319000e+01,4.138241e-02
2.320000e+01,4.618702e-02
2.321000e+01,5.098427e-02
2.322000e+01,5.577351e-02
2.323000e+01,6.055403e-02
2.324000e+01,6.532508e-02
2.325000e+01,7.008589e-02
2.326000e+01,7.483565e-02
2.327000e+01,7.957351e-02
2.328000e+01,8.429861e-02
2.329000e+01,8.901004e-02
2.330000e+01,9.370687e-02
2.331000e+01,9.838818e-02
2.332000e+01,1.030530e-01
2.333000e+01,1.077004e-01
2.334000e+01,1.123293e-01
2.335000e+01,1.169389e-01
2.336000e+01,1.215281e-01
2.337000e+01,1.260961e-01
2.338000e+01,1.306419e-01
2.339000e+01,1.351647e-01
2.340000e+01,1.396635e-01
2.341000e+01,1.441376e-01
2.342000e+01,1.485861e-01
2.343000e+01,1.530084e-01
2.344000e+01,1.574038e-01
2.345000e+01,1.617714e-01
2.346000e+01,1.661108e-01
2.347000e+01,1.704214e-01
2.348000e+01,1.747025e-01
2.349000e+01,1.789537e-01
2.350000e+01,1.831744e-01
2.351000e+01,1.873643e-01
2.352000e+01,1.915228e-01
2.353000e+01,1.956495e-01
2.354000e+01,1.997439e-01
2.355000e+01,2.038057e-01
2.356000e+01,2.078344e-01
2.357000e+01,2.118295e-01
2.358000e+01,2.157907e-01
2.359000e+01,2.197173e-01
2.360000e+01,2.236090e-01
2.361000e+01,2.274652e-01
2.362000e+01,2.312854e-01
2.363000e+01,2.350689e-01
2.364000e+01,2.388152e-01
2.365000e+01,2.425237e-01
