t1,d1,v1,u,u_max
1.32E+00,-8.103264E-02,-1.136064E+00,-5E-02,-2.086155E+00
1.33E+00,-9.235561E-02,-1.128484E+00,-5E-02,-2.145968E+00
1.34E+00,-1.036015E-01,-1.120651E+00,-5E-02,-2.20495E+00
1.35E+00,-1.147679E-01,-1.112611E+00,-5E-02,-2.26315E+00
1.36E+00,-1.258532E-01,-1.10441E+00,-5E-02,-2.32062E+00
1.37E+00,-1.368558E-01,-1.096092E+00,-5E-02,-2.377415E+00
1.38E+00,-1.477748E-01,-1.087701E+00,-5E-02,-2.433588E+00
1.39E+00,-1.586097E-01,-1.079278E+00,-5E-02,-2.489194E+00
1.4E+00,-1.693603E-01,-1.07086E+00,-5E-02,-2.544283E+00
1.41E+00,-1.80027E-01,-1.06248E+00,-5E-02,-2.598902E+00
1.42E+00,-1.906102E-01,-1.054164E+00,-5E-02,-2.653093E+00
1.43E+00,-2.011106E-01,-1.045934E+00,-5E-02,-2.706888E+00
1.44E+00,-2.115292E-01,-1.037804E+00,-5E-02,-2.760314E+00
1.45E+00,-2.21867E-01,-1.029781E+00,-5E-02,-2.813388E+00
1.46E+00,-2.321251E-01,-1.021866E+00,-5E-02,-2.866118E+00
1.47E+00,-2.423047E-01,-1.014054E+00,-5E-02,-2.9185E+00
1.48E+00,-2.524065E-01,-1.006329E+00,-5E-02,-2.970523E+00
1.49E+00,-2.624315E-01,-9.986742E-01,-5E-02,-3.022165E+00
1.5E+00,-2.723801E-01,-9.910628E-01,-5E-02,-3.073393E+00
1.51E+00,-2.822528E-01,-9.834648E-01,-5E-02,-3.124167E+00
1.52E+00,-2.920494E-01,-9.758455E-01,-5E-02,-3.17444E+00
1.53E+00,-3.017695E-01,-9.681669E-01,-5E-02,-3.224154E+00
1.54E+00,-3.114124E-01,-9.603888E-01,-5E-02,-3.273249E+00
1.55E+00,-3.209768E-01,-9.524697E-01,-5E-02,-3.321661E+00
1.56E+00,-3.304612E-01,-9.44368E-01,-5E-02,-3.369321E+00
1.57E+00,-3.398634E-01,-9.360432E-01,-5E-02,-3.416159E+00
1.58E+00,-3.491811E-01,-9.274567E-01,-5E-02,-3.462108E+00
1.59E+00,-3.584116E-01,-9.185732E-01,-5E-02,-3.5071E+00
1.6E+00,-3.675515E-01,-9.093614E-01,-5E-02,-3.551073E+00
1.61E+00,-3.765976E-01,-8.997948E-01,-5E-02,-3.593968E+00
1.62E+00,-3.855462E-01,-8.898524E-01,-5E-02,-3.635734E+00
1.63E+00,-3.943933E-01,-8.795198E-01,-5E-02,-3.676326E+00
1.64E+00,-4.031352E-01,-8.687885E-01,-5E-02,-3.715708E+00
1.65E+00,-4.117678E-01,-8.576573E-01,-5E-02,-3.753853E+00
1.66E+00,-4.202871E-01,-8.461317E-01,-5E-02,-3.790745E+00
1.67E+00,-4.286891E-01,-8.342237E-01,-5E-02,-3.826377E+00
1.68E+00,-4.369703E-01,-8.219521E-01,-5E-02,-3.86075E+00
1.69E+00,-4.451271E-01,-8.093415E-01,-5E-02,-3.893877E+00
1.7E+00,-4.531561E-01,-7.964219E-01,-5E-02,-3.925781E+00
1.71E+00,-4.610546E-01,-7.832279E-01,-5E-02,-3.956491E+00
1.72E+00,-4.688199E-01,-7.69798E-01,-5E-02,-3.986044E+00
1.73E+00,-4.764499E-01,-7.561734E-01,-5E-02,-4.014486E+00
1.74E+00,-4.839429E-01,-7.423973E-01,-5E-02,-4.041864E+00
1.75E+00,-4.912975E-01,-7.285134E-01,-5E-02,-4.068233E+00
1.76E+00,-4.985129E-01,-7.145654E-01,-5E-02,-4.093647E+00
1.77E+00,-5.055887E-01,-7.005953E-01,-5E-02,-4.118163E+00
1.78E+00,-5.125249E-01,-6.866429E-01,-5E-02,-4.141836E+00
1.79E+00,-5.193217E-01,-6.727445E-01,-5E-02,-4.164718E+00
1.8E+00,-5.2598E-01,-6.589323E-01,-5E-02,-4.186859E+00
1.81E+00,-5.325008E-01,-6.452334E-01,-5E-02,-4.208302E+00
1.82E+00,-5.388852E-01,-6.316692E-01,-5E-02,-4.229086E+00
1.83E+00,-5.451347E-01,-6.182551E-01,-5E-02,-4.249241E+00
1.84E+00,-5.512508E-01,-6.050001E-01,-5E-02,-4.268789E+00
1.85E+00,-5.572352E-01,-5.919065E-01,-5E-02,-4.287742E+00
1.86E+00,-5.630895E-01,-5.7897E-01,-5E-02,-4.306106E+00
1.87E+00,-5.688151E-01,-5.661802E-01,-5E-02,-4.323875E+00
1.88E+00,-5.744135E-01,-5.535203E-01,-5E-02,-4.341034E+00
1.89E+00,-5.798859E-01,-5.409683E-01,-5E-02,-4.357559E+00
1.9E+00,-5.852331E-01,-5.284969E-01,-5E-02,-4.37342E+00
1.91E+00,-5.90456E-01,-5.16075E-01,-5E-02,-4.388576E+00
1.92E+00,-5.955547E-01,-5.036683E-01,-5E-02,-4.402982E+00
1.93E+00,-6.005293E-01,-4.912398E-01,-5E-02,-4.416586E+00
1.94E+00,-6.053793E-01,-4.787517E-01,-5E-02,-4.429333E+00
1.95E+00,-6.10104E-01,-4.661655E-01,-5E-02,-4.441165E+00
1.96E+00,-6.147021E-01,-4.534438E-01,-5E-02,-4.452021E+00
1.97E+00,-6.191723E-01,-4.405508E-01,-5E-02,-4.461843E+00
1.98E+00,-6.235125E-01,-4.274537E-01,-5E-02,-4.470573E+00
1.99E+00,-6.277206E-01,-4.141232E-01,-5E-02,-4.478157E+00
2,-6.317941E-01,-4.005344E-01,-5E-02,-4.484545E+00
2.01E+00,-6.357303E-01,-3.866677E-01,-5E-02,-4.489692E+00
2.02E+00,-6.395265E-01,-3.725092E-01,-5E-02,-4.493562E+00
2.03E+00,-6.431795E-01,-3.58051E-01,-5E-02,-4.496126E+00
2.04E+00,-6.466865E-01,-3.432916E-01,-5E-02,-4.497362E+00
2.05E+00,-6.500443E-01,-3.282359E-01,-5E-02,-4.497258E+00
2.06E+00,-6.532502E-01,-3.128952E-01,-5E-02,-4.495813E+00
2.07E+00,-6.563014E-01,-2.972867E-01,-5E-02,-4.493033E+00
2.08E+00,-6.591952E-01,-2.814335E-01,-5E-02,-4.488935E+00
2.09E+00,-6.619293E-01,-2.653637E-01,-5E-02,-4.483542E+00
2.1E+00,-6.645018E-01,-2.491098E-01,-5E-02,-4.476889E+00
2.11E+00,-6.66911E-01,-2.327082E-01,-5E-02,-4.469014E+00
2.12E+00,-6.691556E-01,-2.161978E-01,-5E-02,-4.459966E+00
2.13E+00,-6.712347E-01,-1.996195E-01,-5E-02,-4.449794E+00
2.14E+00,-6.731479E-01,-1.830151E-01,-5E-02,-4.438554E+00
2.15E+00,-6.748951E-01,-1.66426E-01,-5E-02,-4.426304E+00
2.16E+00,-6.764766E-01,-1.498926E-01,-5E-02,-4.413103E+00
2.17E+00,-6.778933E-01,-1.334532E-01,-5E-02,-4.399007E+00
2.18E+00,-6.791461E-01,-1.171429E-01,-5E-02,-4.384073E+00
2.19E+00,-6.802366E-01,-1.009929E-01,-5E-02,-4.368354E+00
2.2E+00,-6.811666E-01,-8.502987E-02,-5E-02,-4.351897E+00
2.21E+00,-6.819379E-01,-6.927529E-02,-5E-02,-4.334745E+00
2.22E+00,-6.825528E-01,-5.374485E-02,-5E-02,-4.316933E+00
2.23E+00,-6.830136E-01,-3.844827E-02,-5E-02,-4.298488E+00
2.24E+00,-6.833226E-01,-2.338906E-02,-5E-02,-4.279431E+00
2.25E+00,-6.834822E-01,-8.564539E-03,-5E-02,-4.259772E+00
2.26E+00,-6.834947E-01,6.034003E-03,0,-4.239514E+00
2.27E+00,-6.833867E-01,1.552034E-02,0,-4.225629E+00
2.28E+00,-6.831848E-01,2.483452E-02,0,-4.211399E+00
2.29E+00,-6.828905E-01,3.401702E-02,0,-4.196779E+00
2.3E+00,-6.825048E-01,4.31114E-02,0,-4.181713E+00
2.31E+00,-6.820284E-01,5.216315E-02,0,-4.166143E+00
2.32E+00,-6.814615E-01,6.121848E-02,0,-4.150006E+00
